year,region,value
2020-Jan,almaty,130550
2021-Jan,almaty,135050
2021-Feb,almaty,135050
2021-Feb,almaty,135050
2021-Mar,almaty,135050
2021-Mar,almaty,135050
2021-Apr,almaty,135050
2021-Apr,almaty,135050
2021-May,almaty,135050
2021-May,almaty,135050
2021-Jun,almaty,135050
2021-Jun,almaty,135050
2021-Jul,almaty,135050
2021-Jul,almaty,135050
2021-Aug,almaty,135050
2021-Aug,almaty,135050
2021-Sep,almaty,135050
2021-Sep,almaty,135050
2021-Oct,almaty,135050
2021-Oct,almaty,135050
2021-Nov,almaty,135050
2021-Nov,almaty,135050
2021-Dec,almaty,135050
2021-Dec,almaty,135050
